Symbol,Instrument Key,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,15m Completed Candle,15m RSI,15m Previous RSI,15m Older RSI,15m RSI Change,15m Previous Change,15m RSI Rising,15m RSI Reversal,Category,Signal,Reason
NSE:ASTRAMICRO,NSE_EQ|INE386C01029,1665.4,62.72,75.98,-13.26,2026-08-12 22:00,24.02,30.3,-6.28,NO,2026-08-11 15:15,40.12,39.04,41.69,1.08,-2.65,YES,YES,SETUP,🔥 SETUP,Weekly RSI > 50 + Hourly RSI < 30 + completed 15m RSI reversal
NSE:CAPLIPOINT,NSE_EQ|INE475E01026,2472.4,64.82,72.25,-7.43,2026-08-12 22:00,27.46,63.65,-36.18,NO,2026-08-11 15:15,59.11,53.97,54.8,5.15,-0.83,YES,YES,SETUP,🔥 SETUP,Weekly RSI > 50 + Hourly RSI < 30 + completed 15m RSI reversal
NSE:AEGISLOG,NSE_EQ|INE208C01025,1264.5,66.63,75.7,-9.06,2026-08-12 22:00,27.48,34.83,-7.35,NO,2026-08-11 15:15,39.99,40.66,44.27,-0.67,-3.61,NO,NO,WATCH,👀 WATCH,Hourly RSI oversold + completed 15m RSI still falling
NSE:REDINGTON,NSE_EQ|INE891D01026,339.4,66.5,71.31,-4.81,2026-08-12 22:00,34.3,51.52,-17.22,NO,2026-08-11 15:15,39.8,45.87,47.92,-6.06,-2.05,NO,NO,WAIT,⏳ WAIT,Hourly RSI 34.30 >= 30; waiting for oversold condition
NSE:SAREGAMA,NSE_EQ|INE979A01025,516.05,71.16,72.36,-1.2,2026-08-12 22:00,37.16,48.4,-11.23,NO,2026-08-11 15:15,46.01,45.75,49.91,0.26,-4.16,YES,YES,WAIT,⏳ WAIT,Hourly RSI 37.16 >= 30; waiting for oversold condition
NSE:AEGISVOPAK,NSE_EQ|INE0INX01018,273.55,59.56,63.61,-4.05,2026-08-12 22:00,37.47,44.92,-7.45,NO,2026-08-11 15:15,48.58,50.38,49.43,-1.8,0.95,NO,NO,WAIT,⏳ WAIT,Hourly RSI 37.47 >= 30; waiting for oversold condition
NSE:KALYANKJIL,NSE_EQ|INE303R01014,596.7,69.73,71.66,-1.94,2026-08-12 22:00,45.92,50.59,-4.67,NO,2026-08-11 15:15,46.51,47.54,49.44,-1.04,-1.9,NO,NO,WAIT,⏳ WAIT,Hourly RSI 45.92 >= 30; waiting for oversold condition
NSE:CYIENTDLM,NSE_EQ|INE055S01018,688.95,83.85,83.67,0.18,2026-08-12 22:00,47.77,64.45,-16.68,NO,2026-08-11 15:15,54.36,54.27,56.45,0.09,-2.18,YES,YES,WAIT,⏳ WAIT,Hourly RSI 47.77 >= 30; waiting for oversold condition
NSE:PARAS,NSE_EQ|INE045601023,1280.7,66.66,66.52,0.14,2026-08-12 22:00,50.11,51.5,-1.39,NO,2026-08-11 15:15,57.09,56.18,57.89,0.91,-1.72,YES,YES,WAIT,⏳ WAIT,Hourly RSI 50.11 >= 30; waiting for oversold condition
NSE:SYRMA,NSE_EQ|INE0DYJ01015,1473.3,69.66,67.87,1.79,2026-08-12 22:00,50.61,60.73,-10.12,NO,2026-08-11 15:15,44.16,42.94,44.66,1.22,-1.72,YES,YES,WAIT,⏳ WAIT,Hourly RSI 50.61 >= 30; waiting for oversold condition
NSE:COFORGE,NSE_EQ|INE591G01025,1801.5,67.33,66.42,0.91,2026-08-12 22:00,51.39,62.37,-10.98,NO,2026-08-11 15:15,52.07,48.61,51.86,3.46,-3.25,YES,YES,WAIT,⏳ WAIT,Hourly RSI 51.39 >= 30; waiting for oversold condition
NSE:UNIMECH,NSE_EQ|INE0U3I01011,1418.5,70.97,73.62,-2.64,2026-08-12 22:00,52.0,54.98,-2.98,NO,2026-08-11 15:15,39.28,39.18,36.92,0.1,2.26,YES,NO,WAIT,⏳ WAIT,Hourly RSI 52.00 >= 30; waiting for oversold condition
NSE:LAURUSLABS,NSE_EQ|INE947Q01028,1850.0,86.41,86.3,0.11,2026-08-12 22:00,53.37,59.47,-6.1,NO,2026-08-11 15:15,65.1,66.63,53.95,-1.53,12.68,NO,NO,WAIT,⏳ WAIT,Hourly RSI 53.37 >= 30; waiting for oversold condition
NSE:RRKABEL,NSE_EQ|INE777K01022,2789.6,77.38,76.89,0.49,2026-08-12 22:00,56.14,68.4,-12.26,NO,2026-08-11 15:15,76.84,65.32,55.37,11.52,9.95,YES,NO,WAIT,⏳ WAIT,Hourly RSI 56.14 >= 30; waiting for oversold condition
