Symbol,Instrument Key,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,15m Completed Candle,15m RSI,15m Previous RSI,15m Older RSI,15m RSI Change,15m Previous Change,15m RSI Rising,15m RSI Reversal,Category,Signal,Reason
NSE:ASTRAMICRO,NSE_EQ|INE386C01029,1665.4,62.72,75.98,-13.26,2026-08-12 23:00,24.02,30.3,-6.28,NO,2026-08-12 15:15,20.65,14.17,15.52,6.48,-1.35,YES,YES,SETUP,🔥 SETUP,Weekly RSI > 50 + Hourly RSI < 30 + completed 15m RSI reversal
NSE:CAPLIPOINT,NSE_EQ|INE475E01026,2472.4,64.82,72.25,-7.43,2026-08-12 23:00,27.46,63.65,-36.18,NO,2026-08-12 15:15,24.68,27.02,27.96,-2.34,-0.93,NO,NO,WATCH,👀 WATCH,Hourly RSI oversold + completed 15m RSI still falling
NSE:AEGISLOG,NSE_EQ|INE208C01025,1264.5,66.63,75.7,-9.06,2026-08-12 23:00,27.48,34.83,-7.35,NO,2026-08-12 15:15,31.95,33.76,34.97,-1.81,-1.21,NO,NO,WATCH,👀 WATCH,Hourly RSI oversold + completed 15m RSI still falling
NSE:REDINGTON,NSE_EQ|INE891D01026,339.4,66.5,71.31,-4.81,2026-08-12 23:00,34.3,51.52,-17.22,NO,2026-08-12 15:15,18.02,17.67,19.35,0.35,-1.69,YES,YES,WAIT,⏳ WAIT,Hourly RSI 34.30 >= 30; waiting for oversold condition
NSE:SAREGAMA,NSE_EQ|INE979A01025,516.05,71.16,72.36,-1.2,2026-08-12 23:00,37.16,48.4,-11.23,NO,2026-08-12 15:15,32.2,35.32,36.98,-3.12,-1.66,NO,NO,WAIT,⏳ WAIT,Hourly RSI 37.16 >= 30; waiting for oversold condition
NSE:AEGISVOPAK,NSE_EQ|INE0INX01018,273.55,59.56,63.61,-4.05,2026-08-12 23:00,37.47,44.92,-7.45,NO,2026-08-12 15:15,42.55,26.65,27.64,15.9,-0.99,YES,YES,WAIT,⏳ WAIT,Hourly RSI 37.47 >= 30; waiting for oversold condition
NSE:KALYANKJIL,NSE_EQ|INE303R01014,596.7,69.73,71.66,-1.94,2026-08-12 23:00,45.92,50.59,-4.67,NO,2026-08-12 15:15,47.52,54.38,54.51,-6.86,-0.13,NO,NO,WAIT,⏳ WAIT,Hourly RSI 45.92 >= 30; waiting for oversold condition
NSE:CYIENTDLM,NSE_EQ|INE055S01018,688.95,83.85,83.67,0.18,2026-08-12 23:00,47.77,64.45,-16.68,NO,2026-08-12 15:15,28.36,32.63,33.4,-4.27,-0.77,NO,NO,WAIT,⏳ WAIT,Hourly RSI 47.77 >= 30; waiting for oversold condition
NSE:PARAS,NSE_EQ|INE045601023,1280.7,66.66,66.52,0.14,2026-08-12 23:00,50.11,51.5,-1.39,NO,2026-08-12 15:15,47.1,45.65,46.33,1.45,-0.68,YES,YES,WAIT,⏳ WAIT,Hourly RSI 50.11 >= 30; waiting for oversold condition
NSE:SYRMA,NSE_EQ|INE0DYJ01015,1473.3,69.66,67.87,1.79,2026-08-12 23:00,50.61,60.73,-10.12,NO,2026-08-12 15:15,35.93,23.55,21.3,12.38,2.25,YES,NO,WAIT,⏳ WAIT,Hourly RSI 50.61 >= 30; waiting for oversold condition
NSE:COFORGE,NSE_EQ|INE591G01025,1801.5,67.33,66.42,0.91,2026-08-12 23:00,51.39,62.37,-10.98,NO,2026-08-12 15:15,47.24,41.96,46.13,5.29,-4.17,YES,YES,WAIT,⏳ WAIT,Hourly RSI 51.39 >= 30; waiting for oversold condition
NSE:UNIMECH,NSE_EQ|INE0U3I01011,1418.5,70.97,73.62,-2.64,2026-08-12 23:00,52.0,54.98,-2.98,NO,2026-08-12 15:15,49.87,46.85,46.58,3.02,0.26,YES,NO,WAIT,⏳ WAIT,Hourly RSI 52.00 >= 30; waiting for oversold condition
NSE:LAURUSLABS,NSE_EQ|INE947Q01028,1850.0,86.41,86.3,0.11,2026-08-12 23:00,53.37,59.47,-6.1,NO,2026-08-12 15:15,48.93,32.75,42.09,16.18,-9.35,YES,YES,WAIT,⏳ WAIT,Hourly RSI 53.37 >= 30; waiting for oversold condition
NSE:RRKABEL,NSE_EQ|INE777K01022,2789.6,77.38,76.89,0.49,2026-08-12 23:00,56.14,68.4,-12.26,NO,2026-08-12 15:15,32.67,34.35,37.04,-1.68,-2.69,NO,NO,WAIT,⏳ WAIT,Hourly RSI 56.14 >= 30; waiting for oversold condition
