Scan Time,Symbol,Tag,Instrument Key,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Category,Signal,Reason
2026-09-15 14:46:05,NSE:SOLARINDS,,NSE_EQ|INE343H01029,19230.0,56.19,78.65,-22.46,2026-09-15 14:00,11.13,53.37,-42.24,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 56.19 > 50 + Hourly RSI 11.13 < 30
2026-09-15 14:46:02,NSE:SAIL,,NSE_EQ|INE114A01011,173.92,50.26,52.85,-2.59,2026-09-15 14:00,14.69,22.4,-7.71,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 50.26 > 50 + Hourly RSI 14.69 < 30
2026-09-15 14:45:50,NSE:NETWEB,,NSE_EQ|INE0NT901020,4647.5,52.88,59.12,-6.24,2026-09-15 14:00,21.6,52.56,-30.96,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 52.88 > 50 + Hourly RSI 21.60 < 30
2026-09-15 14:46:36,INOXINDIA,Volume Shocker,NSE_EQ|INE616N01034,2023.3,62.86,81.02,-18.16,2026-09-15 14:00,22.82,51.38,-28.55,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 62.86 > 50 + Hourly RSI 22.82 < 30
2026-09-15 14:45:34,NSE:INOXINDIA,,NSE_EQ|INE616N01034,2023.7,62.89,81.02,-18.13,2026-09-15 14:00,22.85,51.38,-28.53,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 62.89 > 50 + Hourly RSI 22.85 < 30
2026-09-15 14:46:31,MAHABANK,Volume Shocker,NSE_EQ|INE457A01014,80.69,52.99,58.95,-5.95,2026-09-15 14:00,23.27,45.79,-22.53,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 52.99 > 50 + Hourly RSI 23.27 < 30
2026-09-15 14:46:22,PARAS,Volume Shocker,NSE_EQ|INE045601023,1347.1,61.77,68.15,-6.38,2026-09-15 14:00,23.55,40.46,-16.91,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 61.77 > 50 + Hourly RSI 23.55 < 30
2026-09-15 14:45:55,NSE:PARAS,,NSE_EQ|INE045601023,1347.6,61.8,68.15,-6.35,2026-09-15 14:00,23.61,40.46,-16.85,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 61.80 > 50 + Hourly RSI 23.61 < 30
2026-09-15 14:45:26,NSE:HAL,,NSE_EQ|INE066F01020,4723.0,54.88,61.9,-7.02,2026-09-15 14:00,24.14,42.57,-18.43,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 54.88 > 50 + Hourly RSI 24.14 < 30
2026-09-15 14:46:48,MIDHANI,"Volume Shocker, All Time High",NSE_EQ|INE099Z01011,408.5,51.24,61.98,-10.74,2026-09-15 14:00,24.29,43.43,-19.14,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 51.24 > 50 + Hourly RSI 24.29 < 30
2026-09-15 14:46:28,ENGINERSIN,Volume Shocker,NSE_EQ|INE510A01028,262.55,59.77,62.77,-2.99,2026-09-15 14:00,24.32,36.93,-12.62,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 59.77 > 50 + Hourly RSI 24.32 < 30
2026-09-15 14:45:44,NSE:MIDHANI,,NSE_EQ|INE099Z01011,408.65,51.27,61.98,-10.71,2026-09-15 14:00,24.33,43.43,-19.1,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 51.27 > 50 + Hourly RSI 24.33 < 30
2026-09-15 14:45:48,NSE:NAVINFLUOR,,NSE_EQ|INE048G01026,8289.5,68.92,77.51,-8.6,2026-09-15 14:00,24.46,37.67,-13.21,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 68.92 > 50 + Hourly RSI 24.46 < 30
2026-09-15 14:46:19,SUDEEPPHRM,,NSE_EQ|INE0QPI01025,1142.7,64.28,69.27,-4.98,2026-09-15 14:00,24.9,36.89,-11.99,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 64.28 > 50 + Hourly RSI 24.90 < 30
2026-09-15 14:46:20,AEROFLEX,,NSE_EQ|INE024001021,507.6,62.68,73.49,-10.81,2026-09-15 14:00,24.9,55.26,-30.37,NO,,,,,,,15m logic removed,SETUP,🔥 SETUP,Weekly RSI 62.68 > 50 + Hourly RSI 24.90 < 30
